名称,销量,参数链接,评分链接
海鸥,"28,797",https://www.dongchedi.com/auto/params-carIds-x-5952,https://www.dongchedi.com/auto/series/score/5952
秦PLUS DM-i,"27,814",https://www.dongchedi.com/auto/params-carIds-x-4802,https://www.dongchedi.com/auto/series/score/4802
Model Y,"26,356",https://www.dongchedi.com/auto/params-carIds-x-4363,https://www.dongchedi.com/auto/series/score/4363
轩逸,"24,270",https://www.dongchedi.com/auto/params-carIds-x-1145,https://www.dongchedi.com/auto/series/score/1145
元PLUS,"23,327",https://www.dongchedi.com/auto/params-carIds-x-5248,https://www.dongchedi.com/auto/series/score/5248
宋Pro DM-i,"22,491",https://www.dongchedi.com/auto/params-carIds-x-3504,https://www.dongchedi.com/auto/series/score/3504
朗逸,"21,117",https://www.dongchedi.com/auto/params-carIds-x-393,https://www.dongchedi.com/auto/series/score/393
驱逐舰05,"20,363",https://www.dongchedi.com/auto/params-carIds-x-5290,https://www.dongchedi.com/auto/series/score/5290
宋PLUS DM-i,"20,209",https://www.dongchedi.com/auto/params-carIds-x-4865,https://www.dongchedi.com/auto/series/score/4865
秦PLUS EV,"18,500",https://www.dongchedi.com/auto/params-carIds-x-4899,https://www.dongchedi.com/auto/series/score/4899
帕萨特,"16,033",https://www.dongchedi.com/auto/params-carIds-x-398,https://www.dongchedi.com/auto/series/score/398
本田CR-V,"15,385",https://www.dongchedi.com/auto/params-carIds-x-280,https://www.dongchedi.com/auto/series/score/280
问界M9,"15,139",https://www.dongchedi.com/auto/params-carIds-x-6325,https://www.dongchedi.com/auto/series/score/6325
奥迪A6L,"14,750",https://www.dongchedi.com/auto/params-carIds-x-99,https://www.dongchedi.com/auto/series/score/99
速腾,"14,572",https://www.dongchedi.com/auto/params-carIds-x-414,https://www.dongchedi.com/auto/series/score/414
锋兰达,"14,243",https://www.dongchedi.com/auto/params-carIds-x-5369,https://www.dongchedi.com/auto/series/score/5369
星瑞,"13,596",https://www.dongchedi.com/auto/params-carIds-x-3476,https://www.dongchedi.com/auto/series/score/3476
星越L,"13,379",https://www.dongchedi.com/auto/params-carIds-x-4857,https://www.dongchedi.com/auto/series/score/4857
RAV4荣放,"12,664",https://www.dongchedi.com/auto/params-carIds-x-546,https://www.dongchedi.com/auto/series/score/546
五菱宏光MINIEV,"12,445",https://www.dongchedi.com/auto/params-carIds-x-4499,https://www.dongchedi.com/auto/series/score/4499
宝马3系,"12,205",https://www.dongchedi.com/auto/params-carIds-x-145,https://www.dongchedi.com/auto/series/score/145
卡罗拉锐放,"12,063",https://www.dongchedi.com/auto/params-carIds-x-5382,https://www.dongchedi.com/auto/series/score/5382
汉DM-i,"11,905",https://www.dongchedi.com/auto/params-carIds-x-4228,https://www.dongchedi.com/auto/series/score/4228
迈腾,"11,892",https://www.dongchedi.com/auto/params-carIds-x-415,https://www.dongchedi.com/auto/series/score/415
AION S,"11,889",https://www.dongchedi.com/auto/params-carIds-x-3101,https://www.dongchedi.com/auto/series/score/3101
思域,"11,837",https://www.dongchedi.com/auto/params-carIds-x-276,https://www.dongchedi.com/auto/series/score/276
五菱缤果,"11,749",https://www.dongchedi.com/auto/params-carIds-x-6266,https://www.dongchedi.com/auto/series/score/6266
宋PLUS EV,"11,600",https://www.dongchedi.com/auto/params-carIds-x-4540,https://www.dongchedi.com/auto/series/score/4540
AION Y,"11,501",https://www.dongchedi.com/auto/params-carIds-x-4814,https://www.dongchedi.com/auto/series/score/4814
ZEEKR 001,"11,267",https://www.dongchedi.com/auto/params-carIds-x-5015,https://www.dongchedi.com/auto/series/score/5015
瑞虎8,"10,672",https://www.dongchedi.com/auto/params-carIds-x-2794,https://www.dongchedi.com/auto/series/score/2794
理想L7,"10,666",https://www.dongchedi.com/auto/params-carIds-x-6173,https://www.dongchedi.com/auto/series/score/6173
雅阁,"10,569",https://www.dongchedi.com/auto/params-carIds-x-289,https://www.dongchedi.com/auto/series/score/289
奔驰C级,"10,508",https://www.dongchedi.com/auto/params-carIds-x-212,https://www.dongchedi.com/auto/series/score/212
唐DM-i,"10,181",https://www.dongchedi.com/auto/params-carIds-x-311,https://www.dongchedi.com/auto/series/score/311
长安CS75 PLUS,"10,115",https://www.dongchedi.com/auto/params-carIds-x-3196,https://www.dongchedi.com/auto/series/score/3196
捷途旅行者,"10,049",https://www.dongchedi.com/auto/params-carIds-x-5563,https://www.dongchedi.com/auto/series/score/5563
奔驰E级,"10,008",https://www.dongchedi.com/auto/params-carIds-x-214,https://www.dongchedi.com/auto/series/score/214
海豚,"9,995",https://www.dongchedi.com/auto/params-carIds-x-5008,https://www.dongchedi.com/auto/series/score/5008
红旗H5,"9,785",https://www.dongchedi.com/auto/params-carIds-x-6132,https://www.dongchedi.com/auto/series/score/6132
帝豪,"9,598",https://www.dongchedi.com/auto/params-carIds-x-733,https://www.dongchedi.com/auto/series/score/733
腾势D9 DM-i,"9,557",https://www.dongchedi.com/auto/params-carIds-x-5843,https://www.dongchedi.com/auto/series/score/5843
途观L,"9,354",https://www.dongchedi.com/auto/params-carIds-x-404,https://www.dongchedi.com/auto/series/score/404
奥迪Q5L,"9,325",https://www.dongchedi.com/auto/params-carIds-x-2916,https://www.dongchedi.com/auto/series/score/2916
凯美瑞,"9,323",https://www.dongchedi.com/auto/params-carIds-x-535,https://www.dongchedi.com/auto/series/score/535
问界M7,"9,266",https://www.dongchedi.com/auto/params-carIds-x-5820,https://www.dongchedi.com/auto/series/score/5820
宝马X3,"8,955",https://www.dongchedi.com/auto/params-carIds-x-2812,https://www.dongchedi.com/auto/series/score/2812
威兰达,"8,675",https://www.dongchedi.com/auto/params-carIds-x-4172,https://www.dongchedi.com/auto/series/score/4172
汉EV,"8,630",https://www.dongchedi.com/auto/params-carIds-x-4300,https://www.dongchedi.com/auto/series/score/4300
逸动,"8,623",https://www.dongchedi.com/auto/params-carIds-x-1455,https://www.dongchedi.com/auto/series/score/1455
元UP,"8,620",https://www.dongchedi.com/auto/params-carIds-x-9689,https://www.dongchedi.com/auto/series/score/9689
奥迪A4L,"8,497",https://www.dongchedi.com/auto/params-carIds-x-96,https://www.dongchedi.com/auto/series/score/96
逍客,"8,394",https://www.dongchedi.com/auto/params-carIds-x-1150,https://www.dongchedi.com/auto/series/score/1150
哈弗H6,"8,309",https://www.dongchedi.com/auto/params-carIds-x-649,https://www.dongchedi.com/auto/series/score/649
天籁,"8,231",https://www.dongchedi.com/auto/params-carIds-x-1147,https://www.dongchedi.com/auto/series/score/1147
熊猫,"8,125",https://www.dongchedi.com/auto/params-carIds-x-6148,https://www.dongchedi.com/auto/series/score/6148
艾瑞泽8,"7,916",https://www.dongchedi.com/auto/params-carIds-x-5852,https://www.dongchedi.com/auto/series/score/5852
探岳,"7,829",https://www.dongchedi.com/auto/params-carIds-x-2835,https://www.dongchedi.com/auto/series/score/2835
皓影,"7,612",https://www.dongchedi.com/auto/params-carIds-x-4079,https://www.dongchedi.com/auto/series/score/4079
宝马X1,"7,611",https://www.dongchedi.com/auto/params-carIds-x-148,https://www.dongchedi.com/auto/series/score/148
伊兰特,"7,543",https://www.dongchedi.com/auto/params-carIds-x-1310,https://www.dongchedi.com/auto/series/score/1310
微蓝6,"7,538",https://www.dongchedi.com/auto/params-carIds-x-3359,https://www.dongchedi.com/auto/series/score/3359
奔驰GLC,"7,511",https://www.dongchedi.com/auto/params-carIds-x-216,https://www.dongchedi.com/auto/series/score/216
小米SU7,"7,058",https://www.dongchedi.com/auto/params-carIds-x-6187,https://www.dongchedi.com/auto/series/score/6187
坦克300,"6,951",https://www.dongchedi.com/auto/params-carIds-x-4615,https://www.dongchedi.com/auto/series/score/4615
长安Lumin,"6,890",https://www.dongchedi.com/auto/params-carIds-x-5859,https://www.dongchedi.com/auto/series/score/5859
格瑞维亚,"6,889",https://www.dongchedi.com/auto/params-carIds-x-5858,https://www.dongchedi.com/auto/series/score/5858
哈弗大狗,"6,869",https://www.dongchedi.com/auto/params-carIds-x-4563,https://www.dongchedi.com/auto/series/score/4563
宝来,"6,753",https://www.dongchedi.com/auto/params-carIds-x-409,https://www.dongchedi.com/auto/series/score/409
宝马X5,"6,695",https://www.dongchedi.com/auto/params-carIds-x-5273,https://www.dongchedi.com/auto/series/score/5273
型格,"6,642",https://www.dongchedi.com/auto/params-carIds-x-5340,https://www.dongchedi.com/auto/series/score/5340
理想L9,"6,560",https://www.dongchedi.com/auto/params-carIds-x-5227,https://www.dongchedi.com/auto/series/score/5227
红旗E-QM5,"6,493",https://www.dongchedi.com/auto/params-carIds-x-5092,https://www.dongchedi.com/auto/series/score/5092
红旗HS5,"6,423",https://www.dongchedi.com/auto/params-carIds-x-3159,https://www.dongchedi.com/auto/series/score/3159
赛那,"6,309",https://www.dongchedi.com/auto/params-carIds-x-5223,https://www.dongchedi.com/auto/series/score/5223
五菱宏光,"6,251",https://www.dongchedi.com/auto/params-carIds-x-1290,https://www.dongchedi.com/auto/series/score/1290
奥迪A3,"6,205",https://www.dongchedi.com/auto/params-carIds-x-95,https://www.dongchedi.com/auto/series/score/95
雷凌,"6,093",https://www.dongchedi.com/auto/params-carIds-x-534,https://www.dongchedi.com/auto/series/score/534
大众ID.3,"6,003",https://www.dongchedi.com/auto/params-carIds-x-5217,https://www.dongchedi.com/auto/series/score/5217
奔驰GLB,"5,972",https://www.dongchedi.com/auto/params-carIds-x-3928,https://www.dongchedi.com/auto/series/score/3928
长安UNI-V,"5,863",https://www.dongchedi.com/auto/params-carIds-x-5288,https://www.dongchedi.com/auto/series/score/5288
领克08 EM-P,"5,862",https://www.dongchedi.com/auto/params-carIds-x-8796,https://www.dongchedi.com/auto/series/score/8796
威朗,"5,829",https://www.dongchedi.com/auto/params-carIds-x-345,https://www.dongchedi.com/auto/series/score/345
博越L,"5,756",https://www.dongchedi.com/auto/params-carIds-x-6025,https://www.dongchedi.com/auto/series/score/6025
蔚来ES6,"5,527",https://www.dongchedi.com/auto/params-carIds-x-2843,https://www.dongchedi.com/auto/series/score/2843
捷途X70,"5,526",https://www.dongchedi.com/auto/params-carIds-x-1938,https://www.dongchedi.com/auto/series/score/1938
银河L7,"5,519",https://www.dongchedi.com/auto/params-carIds-x-8830,https://www.dongchedi.com/auto/series/score/8830
缤越,"5,501",https://www.dongchedi.com/auto/params-carIds-x-2975,https://www.dongchedi.com/auto/series/score/2975
深蓝S7,"5,492",https://www.dongchedi.com/auto/params-carIds-x-6027,https://www.dongchedi.com/auto/series/score/6027
途岳,"5,487",https://www.dongchedi.com/auto/params-carIds-x-2836,https://www.dongchedi.com/auto/series/score/2836
五菱荣光V,"5,431",https://www.dongchedi.com/auto/params-carIds-x-1293,https://www.dongchedi.com/auto/series/score/1293
零跑C10,"5,368",https://www.dongchedi.com/auto/params-carIds-x-9307,https://www.dongchedi.com/auto/series/score/9307
长安启源A07,"5,317",https://www.dongchedi.com/auto/params-carIds-x-8958,https://www.dongchedi.com/auto/series/score/8958
别克GL8,"5,192",https://www.dongchedi.com/auto/params-carIds-x-353,https://www.dongchedi.com/auto/series/score/353
传祺M8,"5,114",https://www.dongchedi.com/auto/params-carIds-x-1794,https://www.dongchedi.com/auto/series/score/1794
海豹DM-i,"5,071",https://www.dongchedi.com/auto/params-carIds-x-6261,https://www.dongchedi.com/auto/series/score/6261
Model 3,"5,065",https://www.dongchedi.com/auto/params-carIds-x-3762,https://www.dongchedi.com/auto/series/score/3762
凯迪拉克CT5,"5,038",https://www.dongchedi.com/auto/params-carIds-x-3736,https://www.dongchedi.com/auto/series/score/3736
理想L8,"5,035",https://www.dongchedi.com/auto/params-carIds-x-6095,https://www.dongchedi.com/auto/series/score/6095
银河L6,"5,033",https://www.dongchedi.com/auto/params-carIds-x-8859,https://www.dongchedi.com/auto/series/score/8859
沃尔沃XC60,"5,014",https://www.dongchedi.com/auto/params-carIds-x-1282,https://www.dongchedi.com/auto/series/score/1282
智界S7,"5,012",https://www.dongchedi.com/auto/params-carIds-x-9225,https://www.dongchedi.com/auto/series/score/9225
iCAR 03,"4,940",https://www.dongchedi.com/auto/params-carIds-x-6298,https://www.dongchedi.com/auto/series/score/6298
宝马5系,"4,899",https://www.dongchedi.com/auto/params-carIds-x-146,https://www.dongchedi.com/auto/series/score/146
零跑C11,"4,779",https://www.dongchedi.com/auto/params-carIds-x-4731,https://www.dongchedi.com/auto/series/score/4731
凌渡,"4,772",https://www.dongchedi.com/auto/params-carIds-x-397,https://www.dongchedi.com/auto/series/score/397
传祺GS4,"4,766",https://www.dongchedi.com/auto/params-carIds-x-616,https://www.dongchedi.com/auto/series/score/616
奥迪Q3,"4,755",https://www.dongchedi.com/auto/params-carIds-x-100,https://www.dongchedi.com/auto/series/score/100
五菱星光PHEV,"4,693",https://www.dongchedi.com/auto/params-carIds-x-9235,https://www.dongchedi.com/auto/series/score/9235
捷达VA3,"4,534",https://www.dongchedi.com/auto/params-carIds-x-3172,https://www.dongchedi.com/auto/series/score/3172
深蓝SL03,"4,524",https://www.dongchedi.com/auto/params-carIds-x-5306,https://www.dongchedi.com/auto/series/score/5306
汉兰达,"4,520",https://www.dongchedi.com/auto/params-carIds-x-536,https://www.dongchedi.com/auto/series/score/536
宝马i3,"4,489",https://www.dongchedi.com/auto/params-carIds-x-4838,https://www.dongchedi.com/auto/series/score/4838
宋L,"4,449",https://www.dongchedi.com/auto/params-carIds-x-8979,https://www.dongchedi.com/auto/series/score/8979
蔚来ET5T,"4,427",https://www.dongchedi.com/auto/params-carIds-x-9126,https://www.dongchedi.com/auto/series/score/9126
途昂,"4,369",https://www.dongchedi.com/auto/params-carIds-x-405,https://www.dongchedi.com/auto/series/score/405
卡罗拉,"4,320",https://www.dongchedi.com/auto/params-carIds-x-542,https://www.dongchedi.com/auto/series/score/542
丰田bZ3,"4,273",https://www.dongchedi.com/auto/params-carIds-x-6126,https://www.dongchedi.com/auto/series/score/6126
长安UNI-Z,"4,165",https://www.dongchedi.com/auto/params-carIds-x-9651,https://www.dongchedi.com/auto/series/score/9651
领克03,"4,113",https://www.dongchedi.com/auto/params-carIds-x-1623,https://www.dongchedi.com/auto/series/score/1623
奥德赛,"4,108",https://www.dongchedi.com/auto/params-carIds-x-291,https://www.dongchedi.com/auto/series/score/291
君威,"3,956",https://www.dongchedi.com/auto/params-carIds-x-348,https://www.dongchedi.com/auto/series/score/348
亚洲龙,"3,922",https://www.dongchedi.com/auto/params-carIds-x-3068,https://www.dongchedi.com/auto/series/score/3068
昂科威,"3,890",https://www.dongchedi.com/auto/params-carIds-x-352,https://www.dongchedi.com/auto/series/score/352
领克06,"3,860",https://www.dongchedi.com/auto/params-carIds-x-4342,https://www.dongchedi.com/auto/series/score/4342
ZEEKR 007,"3,827",https://www.dongchedi.com/auto/params-carIds-x-9128,https://www.dongchedi.com/auto/series/score/9128
皇冠陆放,"3,764",https://www.dongchedi.com/auto/params-carIds-x-4840,https://www.dongchedi.com/auto/series/score/4840
阿维塔 12,"3,733",https://www.dongchedi.com/auto/params-carIds-x-8834,https://www.dongchedi.com/auto/series/score/8834
ID.4 CROZZ,"3,722",https://www.dongchedi.com/auto/params-carIds-x-4586,https://www.dongchedi.com/auto/series/score/4586
奔腾B70,"3,668",https://www.dongchedi.com/auto/params-carIds-x-267,https://www.dongchedi.com/auto/series/score/267
长安CS55 PLUS,"3,666",https://www.dongchedi.com/auto/params-carIds-x-4223,https://www.dongchedi.com/auto/series/score/4223
蒙迪欧,"3,656",https://www.dongchedi.com/auto/params-carIds-x-579,https://www.dongchedi.com/auto/series/score/579
坦克500 Hi4-T,"3,646",https://www.dongchedi.com/auto/params-carIds-x-5830,https://www.dongchedi.com/auto/series/score/5830
英仕派,"3,646",https://www.dongchedi.com/auto/params-carIds-x-2875,https://www.dongchedi.com/auto/series/score/2875
探影,"3,608",https://www.dongchedi.com/auto/params-carIds-x-4078,https://www.dongchedi.com/auto/series/score/4078
捷达VS5,"3,570",https://www.dongchedi.com/auto/params-carIds-x-3171,https://www.dongchedi.com/auto/series/score/3171
长安欧尚X5 PLUS,"3,558",https://www.dongchedi.com/auto/params-carIds-x-6035,https://www.dongchedi.com/auto/series/score/6035
长安欧尚Z6,"3,465",https://www.dongchedi.com/auto/params-carIds-x-5439,https://www.dongchedi.com/auto/series/score/5439
高尔夫,"3,455",https://www.dongchedi.com/auto/params-carIds-x-410,https://www.dongchedi.com/auto/series/score/410
瑞虎9,"3,427",https://www.dongchedi.com/auto/params-carIds-x-6227,https://www.dongchedi.com/auto/series/score/6227
传祺M6,"3,412",https://www.dongchedi.com/auto/params-carIds-x-2832,https://www.dongchedi.com/auto/series/score/2832
T-ROC探歌,"3,375",https://www.dongchedi.com/auto/params-carIds-x-1977,https://www.dongchedi.com/auto/series/score/1977
缤瑞,"3,372",https://www.dongchedi.com/auto/params-carIds-x-2928,https://www.dongchedi.com/auto/series/score/2928
宝马iX3,"3,317",https://www.dongchedi.com/auto/params-carIds-x-4538,https://www.dongchedi.com/auto/series/score/4538
长安启源Q05,"3,241",https://www.dongchedi.com/auto/params-carIds-x-9242,https://www.dongchedi.com/auto/series/score/9242
欧拉好猫,"3,232",https://www.dongchedi.com/auto/params-carIds-x-4635,https://www.dongchedi.com/auto/series/score/4635
零跑T03,"3,207",https://www.dongchedi.com/auto/params-carIds-x-4272,https://www.dongchedi.com/auto/series/score/4272
奥迪A7L,"3,174",https://www.dongchedi.com/auto/params-carIds-x-4302,https://www.dongchedi.com/auto/series/score/4302
长安启源A05,"3,165",https://www.dongchedi.com/auto/params-carIds-x-9129,https://www.dongchedi.com/auto/series/score/9129
荣威i5,"3,133",https://www.dongchedi.com/auto/params-carIds-x-3041,https://www.dongchedi.com/auto/series/score/3041
坦克400 Hi4-T,"3,107",https://www.dongchedi.com/auto/params-carIds-x-8964,https://www.dongchedi.com/auto/series/score/8964
蓝山DHT-PHEV,"3,088",https://www.dongchedi.com/auto/params-carIds-x-6206,https://www.dongchedi.com/auto/series/score/6206
本田HR-V,"3,079",https://www.dongchedi.com/auto/params-carIds-x-6036,https://www.dongchedi.com/auto/series/score/6036
皓瀚,"3,061",https://www.dongchedi.com/auto/params-carIds-x-8788,https://www.dongchedi.com/auto/series/score/8788
奇骏,"2,961",https://www.dongchedi.com/auto/params-carIds-x-1151,https://www.dongchedi.com/auto/series/score/1151
比亚迪e2,"2,906",https://www.dongchedi.com/auto/params-carIds-x-3455,https://www.dongchedi.com/auto/series/score/3455
QQ冰淇淋,"2,797",https://www.dongchedi.com/auto/params-carIds-x-5257,https://www.dongchedi.com/auto/series/score/5257
eπ007,"2,795",https://www.dongchedi.com/auto/params-carIds-x-9349,https://www.dongchedi.com/auto/series/score/9349
捷途X90,"2,760",https://www.dongchedi.com/auto/params-carIds-x-2849,https://www.dongchedi.com/auto/series/score/2849
科鲁泽,"2,750",https://www.dongchedi.com/auto/params-carIds-x-3094,https://www.dongchedi.com/auto/series/score/3094
捷途山海T2,"2,746",https://www.dongchedi.com/auto/params-carIds-x-8943,https://www.dongchedi.com/auto/series/score/8943
沃尔沃S90,"2,728",https://www.dongchedi.com/auto/params-carIds-x-1281,https://www.dongchedi.com/auto/series/score/1281
传祺GS3,"2,726",https://www.dongchedi.com/auto/params-carIds-x-1621,https://www.dongchedi.com/auto/series/score/1621
马自达CX-5,"2,719",https://www.dongchedi.com/auto/params-carIds-x-1016,https://www.dongchedi.com/auto/series/score/1016
MG5,"2,707",https://www.dongchedi.com/auto/params-carIds-x-31,https://www.dongchedi.com/auto/series/score/31
豪越L,"2,702",https://www.dongchedi.com/auto/params-carIds-x-6211,https://www.dongchedi.com/auto/series/score/6211
ZR-V 致在,"2,696",https://www.dongchedi.com/auto/params-carIds-x-5912,https://www.dongchedi.com/auto/series/score/5912
北京BJ40,"2,684",https://www.dongchedi.com/auto/params-carIds-x-164,https://www.dongchedi.com/auto/series/score/164
途胜,"2,657",https://www.dongchedi.com/auto/params-carIds-x-1322,https://www.dongchedi.com/auto/series/score/1322
瑞虎7,"2,603",https://www.dongchedi.com/auto/params-carIds-x-1094,https://www.dongchedi.com/auto/series/score/1094
五菱荣光,"2,598",https://www.dongchedi.com/auto/params-carIds-x-1291,https://www.dongchedi.com/auto/series/score/1291
哈弗猛龙PHEV,"2,597",https://www.dongchedi.com/auto/params-carIds-x-9113,https://www.dongchedi.com/auto/series/score/9113
奔驰A级,"2,574",https://www.dongchedi.com/auto/params-carIds-x-2913,https://www.dongchedi.com/auto/series/score/2913
风云A8,"2,563",https://www.dongchedi.com/auto/params-carIds-x-8808,https://www.dongchedi.com/auto/series/score/8808
岚图梦想家 PHEV,"2,562",https://www.dongchedi.com/auto/params-carIds-x-5924,https://www.dongchedi.com/auto/series/score/5924
艾瑞泽5,"2,548",https://www.dongchedi.com/auto/params-carIds-x-1081,https://www.dongchedi.com/auto/series/score/1081
菱智,"2,537",https://www.dongchedi.com/auto/params-carIds-x-445,https://www.dongchedi.com/auto/series/score/445
红旗HS3,"2,513",https://www.dongchedi.com/auto/params-carIds-x-6359,https://www.dongchedi.com/auto/series/score/6359
小鹏P7,"2,383",https://www.dongchedi.com/auto/params-carIds-x-3352,https://www.dongchedi.com/auto/series/score/3352
理想L6,"2,381",https://www.dongchedi.com/auto/params-carIds-x-5845,https://www.dongchedi.com/auto/series/score/5845
大众CC,"2,370",https://www.dongchedi.com/auto/params-carIds-x-416,https://www.dongchedi.com/auto/series/score/416
ID.4 X,"2,350",https://www.dongchedi.com/auto/params-carIds-x-4258,https://www.dongchedi.com/auto/series/score/4258
凯迪拉克XT5,"2,309",https://www.dongchedi.com/auto/params-carIds-x-861,https://www.dongchedi.com/auto/series/score/861
传祺E8 PHEV,"2,299",https://www.dongchedi.com/auto/params-carIds-x-9184,https://www.dongchedi.com/auto/series/score/9184
蔚来ET5,"2,283",https://www.dongchedi.com/auto/params-carIds-x-5409,https://www.dongchedi.com/auto/series/score/5409
