参数名称,朗逸 2024款 1.5L 自动得逸版,朗逸 2024款 1.5L 自动满逸版,朗逸 2024款 1.5L 自动五百万版,朗逸 2024款 1.5L 自动星空五百万版,朗逸 2024款 300TSI DSG满逸版,朗逸 2024款 300TSI DSG星空满逸版,朗逸 2024款 300TSI DSG星空领先版,朗逸 2024款 300TSI DSG永逸版,朗逸 2024款 300TSI DSG星空永逸版,朗逸 2023款 新锐 1.5L 自动出众新逸版,朗逸 2023款 新锐 1.5L 自动出众新愿版,朗逸 2023款 新锐 1.5L 自动新逸版,朗逸 2023款 新锐 1.5L 自动新愿版
官方指导价,12.09万,12.79万,13.09万,13.09万,13.89万,13.89万,14.39万,15.19万,15.19万,7.999万,8.799万,9.999万,10.999万
厂商,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众
级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
上市时间,2023.09,2023.09,2023.09,2023.09,2023.09,2023.09,2023.08,2023.09,2023.09,2024.04,2024.04,2023.06,2023.06
发动机,1.5L 110马力 L4,1.5L 110马力 L4,1.5L 110马力 L4,1.5L 110马力 L4,1.5T 160马力 L4,1.5T 160马力 L4,1.5T 160马力 L4,1.5T 160马力 L4,1.5T 160马力 L4,1.5L 110马力 L4,1.5L 110马力 L4,1.5L 110马力 L4,1.5L 110马力 L4
最大功率(kW),81(110Ps),81(110Ps),81(110Ps),81(110Ps),118(160Ps),118(160Ps),118(160Ps),118(160Ps),118(160Ps),81(110Ps),81(110Ps),81(110Ps),81(110Ps)
最大扭矩(N・m),141,141,141,141,250,250,250,250,250,141,141,141,141
变速箱,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,7挡双离合,7挡双离合,7挡双离合,7挡双离合,7挡双离合,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体
长x宽x高(mm),4678x1806x1474,4678x1806x1474,4678x1806x1474,4678x1806x1474,4678x1806x1474,4678x1806x1474,4678x1806x1474,4678x1806x1474,4678x1806x1474,4561x1740x1494,4561x1740x1494,4561x1740x1494,4561x1740x1494
车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
最高车速(km/h),188,188,188,188,200,200,200,200,200,185,185,185,185
官方百公里加速时间(s),,,,,,,,,,,,,
WLTC综合油耗(L/100km),5.92,5.92,5.92,5.92,5.4,5.4,5.4,5.4,5.4,5.98,5.98,5.98,5.98
整车保修期限,3年或10万公里,3年或10万公里,3年或10万公里,3年或10万公里,3年或10万公里,3年或10万公里,3年或10万公里,3年或10万公里,3年或10万公里,3年或10万公里,3年或10万公里,3年或10万公里,3年或10万公里
长(mm),4678,4678,4678,4678,4678,4678,4678,4678,4678,4561,4561,4561,4561
宽(mm),1806,1806,1806,1806,1806,1806,1806,1806,1806,1740,1740,1740,1740
高(mm),1474,1474,1474,1474,1474,1474,1474,1474,1474,1494,1494,1494,1494
轴距(mm),2688,2688,2688,2688,2688,2688,2688,2688,2688,2651,2651,2651,2651
前轮距(mm),1546,1546,1546,1546,1546,1546,1546,1546,1546,1516,1516,1516,1516
后轮距(mm),1520,1520,1520,1520,1520,1520,1520,1520,1520,1496,1496,1496,1496
车身结构,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
座位数(个),5,5,5,5,5,5,5,5,5,5,5,5,5
整备质量(kg),1295,1295,1295,1295,1345,1345,1345,1345,1345,1250,1250,1250,1250
满载质量(kg),1755,1755,1755,1755,1805,1805,1805,1805,1805,1710,1710,1710,1710
油箱容积(L),51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,42.5,42.5,42.5,42.5
行李舱容积(L),510,510,510,510,510,510,510,510,510,498,498,498,498
发动机型号,DRZ,DRZ,DRZ,DRZ,DSV,DSV,DSV,DSV,DSV,DRZ,DRZ,DRZ,DRZ
排量(mL),1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498
排量(L),1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气
发动机布局形式,横置,横置,横置,横置,横置,横置,横置,横置,横置,,,,
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4
压缩比,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
最大马力(Ps),110,110,110,110,160,160,160,160,160,110,110,110,110
最大功率(kW),81,81,81,81,118,118,118,118,118,81,81,81,81
最大功率转速(rpm),6200,6200,6200,6200,5500,5500,5500,5500,5500,6200,6200,6200,6200
最大扭矩(N・m),141,141,141,141,250,250,250,250,250,141,141,141,141
最大扭矩转速(rpm),4100,4100,4100,4100,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,4100,4100,4100,4100
发动机特有技术,,,,,米勒循环,米勒循环,米勒循环,米勒循环,米勒循环,,,,
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
燃油标号,92#,92#,92#,92#,92#,92#,92#,92#,92#,92#,92#,92#,92#
供油方式,多点电喷,多点电喷,多点电喷,多点电喷,缸内直喷,缸内直喷,缸内直喷,缸内直喷,缸内直喷,多点电喷,多点电喷,多点电喷,多点电喷
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
变速箱描述,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,7挡双离合,7挡双离合,7挡双离合,7挡双离合,7挡双离合,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体
挡位数,6,6,6,6,7,7,7,7,7,6,6,6,6
变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),干式双离合变速箱（DCT）,干式双离合变速箱（DCT）,干式双离合变速箱（DCT）,干式双离合变速箱（DCT）,干式双离合变速箱（DCT）,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
前悬挂形式,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂
后悬挂形式,纵臂扭转梁式非独立悬挂,纵臂扭转梁式非独立悬挂,纵臂扭转梁式非独立悬挂,纵臂扭转梁式非独立悬挂,纵臂扭转梁式非独立悬挂,纵臂扭转梁式非独立悬挂,纵臂扭转梁式非独立悬挂,纵臂扭转梁式非独立悬挂,纵臂扭转梁式非独立悬挂,纵臂扭转梁式非独立悬挂,纵臂扭转梁式非独立悬挂,纵臂扭转梁式非独立悬挂,纵臂扭转梁式非独立悬挂
转向类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,实心盘式,实心盘式,实心盘式,实心盘式,实心盘式,实心盘式,实心盘式,实心盘式,实心盘式,鼓式,鼓式,鼓式,鼓式
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,手刹,手刹,手刹,手刹
前轮胎规格尺寸,195/65 R15,205/55 R16,205/55 R16,205/55 R16,205/55 R16,205/55 R16,205/55 R16,225/45 R17,225/45 R17,195/65 R15,205/55 R16,195/65 R15,205/55 R16
后轮胎规格尺寸,195/65 R15,205/55 R16,205/55 R16,205/55 R16,205/55 R16,205/55 R16,205/55 R16,225/45 R17,225/45 R17,195/65 R15,205/55 R16,195/65 R15,205/55 R16
备胎规格,●非全尺寸,●非全尺寸,●非全尺寸,●非全尺寸,●非全尺寸,●非全尺寸,●非全尺寸,●非全尺寸,●非全尺寸,●非全尺寸,●非全尺寸,●非全尺寸,●非全尺寸
ABS防抱死,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配
制动力分配(EBD/CBC等),●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配
刹车辅助(EBA/BA等),●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配
牵引力控制(TCS/ASR等),●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配
车身稳定系统(ESP/DSC等),●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配
主动安全预警系统,,●车道偏离预警,●车道偏离预警,●车道偏离预警,●车道偏离预警,●车道偏离预警,●车道偏离预警,●车道偏离预警,●车道偏离预警,,●车道偏离预警,,●车道偏离预警
主动安全预警系统,●前方碰撞预警,●前方碰撞预警,●前方碰撞预警,●前方碰撞预警,●前方碰撞预警,●前方碰撞预警,●前方碰撞预警,●前方碰撞预警,●前方碰撞预警,●前方碰撞预警,●前方碰撞预警,●前方碰撞预警,●前方碰撞预警
主动安全预警系统,,,,,,,,●倒车车侧预警,●倒车车侧预警,,,,
主动刹车,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配
并线辅助,,,,,,,,●标配,●标配,,,,
车道保持辅助系统,,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,,●标配,,●标配
车道居中保持,,,,,,,,,,,,,
疲劳驾驶提示,,,,,,,,,,,,,
主动式DMS疲劳检测,,,,,,,,,,,,,
车内生命体征检测,,,,,,,,,,,,,
道路交通标识识别,,,,,,,,,,,,,
信号灯识别,,,,,,,,,,,,,
夜视系统,,,,,,,,,,,,,
前排安全气囊,●主驾驶位,●主驾驶位,●主驾驶位,●主驾驶位,●主驾驶位,●主驾驶位,●主驾驶位,●主驾驶位,●主驾驶位,●主驾驶位,●主驾驶位,●主驾驶位,●主驾驶位
前排安全气囊,●副驾驶位,●副驾驶位,●副驾驶位,●副驾驶位,●副驾驶位,●副驾驶位,●副驾驶位,●副驾驶位,●副驾驶位,●副驾驶位,●副驾驶位,●副驾驶位,●副驾驶位
侧安全气囊,●前排,●前排,●前排,●前排,●前排,●前排,●前排,●前排,●前排,●前排,●前排,●前排,●前排
侧安全气帘,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配
前排膝部气囊,,,,,,,,,,,,,
中央安全气囊,,,,,,,,,,,,,
安全带未系提示,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配
胎压监测系统,●胎压报警,●胎压报警,●胎压报警,●胎压报警,●胎压报警,●胎压报警,●胎压报警,●胎压报警,●胎压报警,●胎压报警,●胎压报警,●胎压报警,●胎压报警
儿童座椅接口(ISOFIX),●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配
被动行人保护,,,,,,,,,,,,,
安全轮胎,,,,,,,,,,,,,
驻车雷达,,,,,,,●前,●前,●前,,,,
驻车雷达,●后,●后,●后,●后,●后,●后,●后,●后,●后,●后,●后,●后,●后
前车驶离提醒,,,,,,,,,,,,,
驾驶辅助影像,,●倒车影像图示,●倒车影像图示,●倒车影像图示,●倒车影像图示,●倒车影像图示,●倒车影像图示,●倒车影像图示,●倒车影像图示,,●倒车影像图示,,●倒车影像图示
巡航系统,,●定速巡航,●定速巡航,●定速巡航,●定速巡航,●定速巡航,●定速巡航,●定速巡航,●定速巡航,●定速巡航图示,●定速巡航图示,●定速巡航图示,●定速巡航图示
巡航系统,,●自适应巡航,●自适应巡航,●自适应巡航,●自适应巡航,●自适应巡航,●自适应巡航,●自适应巡航,●自适应巡航,,,,
巡航系统,,●全速自适应巡航,●全速自适应巡航,●全速自适应巡航,●全速自适应巡航,●全速自适应巡航,●全速自适应巡航,●全速自适应巡航,●全速自适应巡航,,,,
自动变道辅助,,,,,,,,,,,,,
匝道自动驶出（入）,,,,,,,,,,,,,
辅助驾驶级别,●L0级,●L1级,●L1级,●L1级,●L1级,●L1级,●L1级,●L1级,●L1级,●L0级,●L0级,●L0级,●L0级
自动泊车入位,,,,,,,,,,,,,
