参数名称,朗逸 2024款 1.5L 自动得逸版,朗逸 2024款 1.5L 自动满逸版,朗逸 2024款 1.5L 自动五百万版,朗逸 2024款 1.5L 自动星空五百万版,朗逸 2024款 300TSI DSG满逸版,朗逸 2024款 300TSI DSG星空满逸版,朗逸 2024款 300TSI DSG星空领先版,朗逸 2024款 300TSI DSG永逸版,朗逸 2024款 300TSI DSG星空永逸版,朗逸 2023款 新锐 1.5L 自动出众新逸版,朗逸 2023款 新锐 1.5L 自动出众新愿版,朗逸 2023款 新锐 1.5L 自动新逸版,朗逸 2023款 新锐 1.5L 自动新愿版
循迹倒车,,,,,,,,,,,,,
记忆泊车,,,,,,,,,,,,,
自动驻车(AUTOHOLD),●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,,,,
上坡辅助(HAC),●标配图示,●标配图示,●标配图示,●标配图示,●标配图示,●标配图示,●标配图示,●标配图示,●标配图示,●标配图示,●标配图示,●标配图示,●标配图示
陡坡缓降(HDC),,,,,,,,,,,,,
发动机启停技术,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配
可变悬挂调节,,,,,,,,,,,,,
空气悬挂,,,,,,,,,,,,,
电磁感应悬挂,,,,,,,,,,,,,
可变转向比系统,,,,,,,,,,,,,
前桥限滑方式,,,,,,,,,,,,,
后桥限滑方式,,,,,,,,,,,,,
中央差速器锁止功能,,,,,,,,,,,,,
整体主动转向系统,,,,,,,,,,,,,
驾驶模式选择,,,,,●ECO/经济,●ECO/经济,●ECO/经济,●ECO/经济,●ECO/经济,,,,
天窗类型,,●单天窗,●单天窗,●单天窗,●单天窗,●单天窗,●单天窗,●单天窗,●单天窗,,●单天窗,,●单天窗
光感天幕,,,,,,,,,,,,,
车顶行李架,,,,,,,,,,,,,
运动外观套件,,,,,,●标配,●标配,,●标配,,,,
电动扰流板,,,,,,,,,,,,,
主动闭合式进气格栅,,,,,,,,,,,,,
铝合金轮毂,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配
无框设计车门,,,,,,,,,,,,,
隐藏式门把手,,,,,,,,,,,,,
拖挂钩,,,,,,,,,,,,,
方向盘材质,●塑料,,,,,,,,,●塑料,●塑料,●塑料,●塑料
方向盘材质,,●皮质,●皮质,●皮质,●皮质,●皮质,●皮质,●皮质,●皮质,,,,
方向盘调节,●上下+前后,●上下+前后,●上下+前后,●上下+前后,●上下+前后,●上下+前后,●上下+前后,●上下+前后,●上下+前后,●上下+前后,●上下+前后,●上下+前后,●上下+前后
方向盘电动调节,,,,,,,,,,,,,
方向盘功能,●多功能控制,●多功能控制,●多功能控制,●多功能控制,●多功能控制,●多功能控制,●多功能控制,●多功能控制,●多功能控制,●多功能控制,●多功能控制,●多功能控制,●多功能控制
行车电脑屏幕,●彩色,●彩色,●彩色,●彩色,●彩色,●彩色,●彩色,●彩色,●彩色,●彩色,●彩色,●彩色,●彩色
液晶仪表样式,●全液晶,●全液晶,●全液晶,●全液晶,●全液晶,●全液晶,●全液晶,●全液晶,●全液晶,●全液晶,●全液晶,●全液晶,●全液晶
液晶仪表尺寸(英寸),●8,●8,,,●8,●8,,,,●8,●8,●8,●8
液晶仪表尺寸(英寸),,,●10.25,●10.25,,,●10.25,●10.25,●10.25,,,,
电动吸合门,,,,,,,,,,,,,
电动后尾门,,,,,,,,,,,,,
感应式后尾门,,,,,,,,,,,,,
电动后尾门位置记忆,,,,,,,,,,,,,
发动机电子防盗,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配
车内中控锁,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配
遥控钥匙类型,●普通遥控钥匙,,,,,,,,,●普通遥控钥匙,,●普通遥控钥匙,
遥控钥匙类型,,●智能遥控钥匙,●智能遥控钥匙,●智能遥控钥匙,●智能遥控钥匙,●智能遥控钥匙,●智能遥控钥匙,●智能遥控钥匙,●智能遥控钥匙,,●智能遥控钥匙,,●智能遥控钥匙
无钥匙进入,,●前排图示,●前排图示,●前排图示,●前排图示,●前排图示,●前排图示,●前排图示,●前排图示,,●前排图示,,●前排图示
无钥匙启动,,●标配图示,●标配图示,●标配图示,●标配图示,●标配图示,●标配图示,●标配图示,●标配图示,,●标配图示,,●标配图示
远程启动,,,,,,,,,,,,,
遥控移动车辆,,,,,,,,,,,,,
车辆召唤功能,,,,,,,,,,,,,
抬头显示系统(HUD),,,,,,,,,,,,,
内置行车记录仪,,,,,,,,,,,,,
主动降噪,,,,,,,,,,,,,
手机无线充电,,,,,,,,,,,,,
110V/220V/230V电源插座,,,,,,,,,,,,,
行李舱12V电源接口,,,,,,,,,,,,,
座椅材质,●织物,●皮织混搭,●仿皮,●仿皮,●皮织混搭,●皮织混搭,●仿皮,●仿皮,●仿皮,●织物,●仿皮,●织物,●仿皮
运动风格座椅,,,,,,,,,,,,,
第二排独立座椅,,,,,,,,,,,,,
座椅电动调节,,,,,,,●主驾驶位,●主驾驶位,●主驾驶位,,,,
主驾座椅整体调节,●前后移动,●前后移动,●前后移动,●前后移动,●前后移动,●前后移动,●前后移动,●前后移动,●前后移动,●前后移动,●前后移动,●前后移动,●前后移动
主驾座椅整体调节,●靠背角度,●靠背角度,●靠背角度,●靠背角度,●靠背角度,●靠背角度,●靠背角度,●靠背角度,●靠背角度,●靠背角度,●靠背角度,●靠背角度,●靠背角度
主驾座椅整体调节,●高低调节,●高低调节,●高低调节,●高低调节,●高低调节,●高低调节,●高低调节,●高低调节,●高低调节,●高低调节,●高低调节,●高低调节,●高低调节
主驾座椅局部调节,●头枕,●头枕,●头枕,●头枕,●头枕,●头枕,●头枕,●头枕,●头枕,,,,
主驾座椅局部调节,,,,,,,●腰部,●腰部,●腰部,,,,
副驾座椅整体调节,●前后移动,●前后移动,●前后移动,●前后移动,●前后移动,●前后移动,●前后移动,●前后移动,●前后移动,●前后移动,●前后移动,●前后移动,●前后移动
副驾座椅整体调节,●靠背角度,●靠背角度,●靠背角度,●靠背角度,●靠背角度,●靠背角度,●靠背角度,●靠背角度,●靠背角度,●靠背角度,●靠背角度,●靠背角度,●靠背角度
副驾座椅局部调节,●头枕,●头枕,●头枕,●头枕,●头枕,●头枕,●头枕,●头枕,●头枕,,,,
第二排座椅整体调节,,,,,,,,,,,,,
第二排座椅局部调节,,,,,,,,,,,,,
前排座椅功能,,,,,,,●加热,●加热,●加热,,,,
第二排座椅功能,,,,,,,,,,,,,
老板键,,,,,,,,,,,,,
前/后扶手,●前排,●前排,●前排,●前排,●前排,●前排,●前排,●前排,●前排,●前排,●前排,●前排,●前排
前/后扶手,,●后排,●后排,●后排,●后排,●后排,●后排,●后排,●后排,,,,
后排杯架,,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,,,,
可加热/制冷杯架,,,,,,,,,,,,,
后排座椅放倒比例,●40:60,●40:60,●40:60,●40:60,●40:60,●40:60,●40:60,●40:60,●40:60,●整排放倒,●整排放倒,●整排放倒,●整排放倒
第二排小桌板,,,,,,,,,,,,,
中控屏尺寸(英寸),●8,●8,●12,●12,●8,●8,●12,●12,●12,●8,●8,●8,●8
触屏振动反馈,,,,,,,,,,,,,
GPS导航系统,,,●标配,●标配,,,●标配,●标配,●标配,,,,
AR实景导航,,,,,,,,,,,,,
导航路况信息展示,,,●标配,●标配,,,●标配,●标配,●标配,,,,
道路救援服务,,,,,,,,,,,,,
蓝牙/车载电话,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配
手机互联映射,●原厂原机,●原厂原机,,,●原厂原机,●原厂原机,,,,○原厂原机,○原厂原机,○原厂原机,○原厂原机
手机互联映射,●CarPlay,●CarPlay,●CarPlay,●CarPlay,●CarPlay,●CarPlay,●CarPlay,●CarPlay,●CarPlay,●CarPlay,●CarPlay,●CarPlay,●CarPlay
手机互联映射,●CarLife,●CarLife,●CarLife,●CarLife,●CarLife,●CarLife,●CarLife,●CarLife,●CarLife,●CarLife,●CarLife,●CarLife,●CarLife
车联网,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,○选配,○选配,○选配,○选配
4G/5G网络,○4G,○4G,○4G,○4G,○4G,○4G,○4G,○4G,○4G,○4G,○4G,○4G,○4G
OTA升级,,,●标配,●标配,,,●标配,●标配,●标配,,,,
面部识别,,,,,,,,,,,,,
指纹识别,,,,,,,,,,,,,
声纹识别,,,,,,,,,,,,,
情绪识别,,,,,,,,,,,,,
语音识别控制系统,,,●标配,●标配,,,●标配,●标配,●标配,,,,
语音免唤醒功能,,,,,,,,,,,,,
语音分区域唤醒识别功能,,,●主驾驶,●主驾驶,,,●主驾驶,●主驾驶,●主驾驶,,,,
连续性语音识别,,,,,,,,,,,,,
可见即可说,,,,,,,,,,,,,
语音助手唤醒词,,,你好大众,你好大众,,,你好大众,你好大众,你好大众,,,,
手势控制功能,,,,,,,,,,,,,
Wi-Fi热点,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,○选配,○选配,○选配,○选配
多指飞屏操控,,,,,,,,,,,,,
应用商店,,,,,,,,,,,,,
多媒体接口,●USB/Type-C,●USB/Type-C,●USB/Type-C,●USB/Type-C,●USB/Type-C,●USB/Type-C,●USB/Type-C,●USB/Type-C,●USB/Type-C,●USB/Type-C,●USB/Type-C,●USB/Type-C,●USB/Type-C
USB/Type-C接口数量,●前排1个,●前排1个,●前排2个,●前排2个,●前排1个,●前排1个,●前排2个,●前排2个,●前排2个,●前排1个,●前排1个,●前排1个,●前排1个
USB/Type-C接口数量,,●后排2个,●后排2个,●后排2个,●后排2个,●后排2个,●后排2个,●后排2个,●后排2个,,,,
USB/Type-C最大充电功率,,,,,,,,,,,,,
车载电视,,,,,,,,,,,,,
后排液晶屏,,,,,,,,,,,,,
模拟声浪,,,,,,,,,,,,,
音响品牌,,,,,,,,,,,,,
扬声器数量(个),●6,●6,●6,●6,●6,●6,●6,●6,●6,●4,●4,●4,●4
后排多媒体控制,,,,,,,,,,,,,
近光灯,●LED,●LED,●LED,●LED,●LED,●LED,●LED,●LED,●LED,●LED,●LED,●LED,●LED
远光灯,●LED,●LED,●LED,●LED,●LED,●LED,●LED,●LED,●LED,●LED,●LED,●LED,●LED
日间行车灯,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配
自适应远近光,,,,,,,,,,,,,
自动大灯,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配
转向辅助灯,,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,,,,
前雾灯,,,,,,,,,,,●标配,,●标配
大灯随动转向(AFS),,,,,,,,,,,,,
大灯高度调节,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配
大灯清洗功能,,,,,,,,,,,,,
车内氛围灯,,●单色,●单色,●单色,●单色,●单色,●单色,●单色,●单色,,,,
主动式环境氛围灯,,,,,,,,,,,,,
灯光特色功能,,,,,,,,,,,,,
大灯延时关闭,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配
前大灯雨雾模式,,,,,,,,,,,,,
电动车窗,●前排,●前排,●前排,●前排,●前排,●前排,●前排,●前排,●前排,●前排,●前排,●前排,●前排
电动车窗,●后排,●后排,●后排,●后排,●后排,●后排,●后排,●后排,●后排,●后排,●后排,●后排,●后排
车窗一键升降,●全车,●全车,●全车,●全车,●全车,●全车,●全车,●全车,●全车,●全车,●全车,●全车,●全车
车窗防夹手功能,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配
外后视镜功能,●电动调节图示,●电动调节图示,●电动调节图示,●电动调节图示,●电动调节图示,●电动调节图示,●电动调节图示,●电动调节图示,●电动调节图示,●电动调节图示,●电动调节图示,●电动调节图示,●电动调节图示
外后视镜功能,,●加热,●加热,●加热,●加热,●加热,●加热,●加热,●加热,,●加热,,●加热
外后视镜功能,,●电动折叠,●电动折叠,●电动折叠,●电动折叠,●电动折叠,●电动折叠,●电动折叠,●电动折叠,,,,
外后视镜功能,,●倒车自动下翻,●倒车自动下翻,●倒车自动下翻,●倒车自动下翻,●倒车自动下翻,●倒车自动下翻,●倒车自动下翻,●倒车自动下翻,,,,
外后视镜功能,,●锁车自动折叠,●锁车自动折叠,●锁车自动折叠,●锁车自动折叠,●锁车自动折叠,●锁车自动折叠,●锁车自动折叠,●锁车自动折叠,,,,
内后视镜功能,,,,,,,,●自动防眩目,●自动防眩目,,,,
车内化妆镜,,,,,,,,,,●主驾驶位+无照明,●主驾驶位+无照明,●主驾驶位+无照明,●主驾驶位+无照明
车内化妆镜,●副驾驶位+无照明,●副驾驶位+无照明,●副驾驶位+无照明,●副驾驶位+无照明,●副驾驶位+无照明,●副驾驶位+无照明,●副驾驶位+无照明,●副驾驶位+无照明,●副驾驶位+无照明,●副驾驶位+无照明,●副驾驶位+无照明,●副驾驶位+无照明,●副驾驶位+无照明
后排隐私玻璃,,,,,,,,,,,,,
车内遮阳帘,,,,,,,,,,,,,
雨量感应式雨刷,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,,●标配,,●标配
后雨刷,,,,,,,,,,,,,
多层隔音玻璃,,,,,,,,,,,,,
前风挡电加热,,,,,,,,,,,,,
可加热喷水嘴,,,,,,,,,,,,,
空调控制方式,●手动,●手动,●手动,●手动,●手动,●手动,●自动,●自动,●自动,●手动,●手动,●手动,●手动
后排独立空调,,,,,,,,,,,,,
后排出风口,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,,,,
温度分区控制,,,,,,,●双区空调,●双区空调,●双区空调,,,,
车载空气净化器,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配
车内PM2.5过滤装置,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配,●标配
HEPA过滤装置,,,,,,,,,,,,,
负离子发生器,,,,,,,,,,,,,
车内香氛装置,,,,,,,,,,,,,
车载冰箱,,,,,,,,,,,,,
手机App远程控制,●车辆监控,●车辆监控,●车辆监控,●车辆监控,●车辆监控,●车辆监控,●车辆监控,●车辆监控,●车辆监控,○车辆监控,○车辆监控,○车辆监控,○车辆监控
手机App远程控制,●服务预约,●服务预约,●服务预约,●服务预约,●服务预约,●服务预约,●服务预约,●服务预约,●服务预约,○服务预约,○服务预约,○服务预约,○服务预约
热泵管理系统,,,,,,,,,,,,,
车外摄像头数量(个),,●2,●2,●2,●2,●2,●2,●2,●2,,●2,,●2
车外摄影头像素,,,,,,,,,,,,,
车内摄影头像素,,,,,,,,,,,,,
超声波雷达数量(个),●4,●4,●4,●4,●4,●4,●8,●8,●8,●4,●4,●4,●4
毫米波雷达数量(个),●1,●1,●1,●1,●1,●1,●1,●3,●3,●1,●1,●1,●1
亚米级高精定位系统,,,,,,,,,,,,,
高精度地图,,,,,,,,,,,,,
哨兵（千里眼）模式,,,,,,,,,,,,,
V2X通讯,,,,,,,,,,,,,
定制选装,可选外观、内饰、轮毂、制动器,可选外观、内饰、轮毂、制动器,可选外观、内饰、轮毂、制动器,可选外观、内饰、轮毂、制动器,可选外观、内饰、轮毂、制动器,可选外观、内饰、轮毂、制动器,可选外观、内饰、轮毂、制动器,可选外观、内饰、轮毂、制动器,可选外观、内饰、轮毂、制动器,可选外观、内饰、轮毂、制动器,可选外观、内饰、轮毂、制动器,可选外观、内饰、轮毂、制动器,可选外观、内饰、轮毂、制动器
